------------------------------------------------------------------------------------
log file for recomend system \\ script made by Dmitry Chapliuk 
------------------------------------------------------------------------------------
------------------------------------------------------------------------------------
[2014-03-13 02:44:58] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): sarc205 Client_ID: 824583091.1394537271
[2014-03-13 02:44:58] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): shas-4001f Client_ID: 824583091.1394537271
[2014-03-13 02:44:58] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: 824583091.1394537271
[2014-03-13 02:46:04] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-35 Client_ID: null
[2014-03-13 02:46:04] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: null
[2014-03-13 02:48:24] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 700000243 Client_ID: null
[2014-03-13 02:48:25] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700000245 Client_ID: null
[2014-03-13 02:48:25] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700000246 Client_ID: null
[2014-03-13 02:48:25] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700005008 Client_ID: null
[2014-03-13 02:49:15] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-5 Client_ID: null
[2014-03-13 09:11:22] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): stig200pacdc Client_ID: null
[2014-03-13 09:11:23] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): regu40mg Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 6035000 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6260450 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 6063300 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6254214MMT Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 4307070 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): ICU0005-12 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 4304600 Client_ID: null
[2014-03-13 09:29:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 4307030 Client_ID: null
[2014-03-13 09:29:47] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): W004505 Client_ID: null
[2014-03-13 09:29:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): W004579 Client_ID: null
[2014-03-13 09:29:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 508Р010007 Client_ID: null
